dataset	leaf_size	metric	eps	min_samples	nmi
cure-t1-2000n-2D	50	euclidean	0.2	3	0.9072505493289745
blobs	50	euclidean	0.2	3	0.5821169044625427
dense-disk-5000	50	euclidean	0.2	3	0.31588407000380203
dense-disk-3000	50	euclidean	0.2	3	0.22088016671890143
2d-10c	50	euclidean	0.2	3	0.511975157146657
impossible	50	euclidean	0.2	3	0.7931987012708442
aml28	50	euclidean	0.2	3	0.18678092750574674
zelnik2	50	euclidean	0.2	3	0.07761153151601675
sizes3	50	euclidean	0.2	3	0.14522821936535593
spiral	50	euclidean	0.2	3	1.0
sizes2	50	euclidean	0.2	3	0.17559661620461872
iris	50	euclidean	0.2	3	0.2801956687648174
hypercube	50	euclidean	0.2	3	0.997066282760711
engytime	50	euclidean	0.2	3	0.036602548992681734
longsquare	50	euclidean	0.2	3	0.2538760868840848
iono	50	euclidean	0.2	3	0.04431000749470407
square5	50	euclidean	0.2	3	0.19174993007210187
3-spiral	50	euclidean	0.2	3	0.1146286595455091
DS-850	50	euclidean	0.2	3	0.8648319891085123
rings	50	euclidean	0.2	3	0.3694770975410114
cure-t2-4k	50	euclidean	0.2	3	0.8733152380050729
2d-4c-no4	50	euclidean	0.2	3	0.4414262554367939
disk-1000n	50	euclidean	0.2	3	0.11909770252282316
ecoli	50	euclidean	0.2	3	0.17937373964936046
target	50	euclidean	0.2	3	0.7901440729227428
3MC	50	euclidean	0.2	3	0.45726888841387603
xor	50	euclidean	0.2	3	0.10662351622987386
xclara	50	euclidean	0.2	3	0.03316577864106643
cure-t0-2000n-2D	50	euclidean	0.2	3	1.0
spherical_5_2	50	euclidean	0.2	3	0.1785247945045405
ds577	50	euclidean	0.2	3	0.7480334711644061
elliptical_10_2	50	euclidean	0.2	3	0.17306246026436545
wingnut	50	euclidean	0.2	3	0.9379778216587304
triangle2	50	euclidean	0.2	3	0.14842821802417297
disk-4000n	50	euclidean	0.2	3	0.20049380997390337
2d-4c	50	euclidean	0.2	3	0.5326306737075617
long1	50	euclidean	0.2	3	0.9557898242242178
sizes4	50	euclidean	0.2	3	0.1335938820038691
square4	50	euclidean	0.2	3	0.19065166044167606
chainlink	50	euclidean	0.2	3	1.0
spiralsquare	50	euclidean	0.2	3	0.7926325392919136
gaussians1	50	euclidean	0.2	3	1.0
haberman	50	euclidean	0.2	3	0.016991169000338913
pmf	50	euclidean	0.2	3	0.10131630863561406
long2	50	euclidean	0.2	3	0.9514430615293765
2d-4c-no9	50	euclidean	0.2	3	0.4053660031931157
cassini	50	euclidean	0.2	3	1.0
hepta	50	euclidean	0.2	3	0.45101567964748324
triangle1	50	euclidean	0.2	3	0.41493397237297075
tae	50	euclidean	0.2	3	0.04796284802914385
twenty	50	euclidean	0.2	3	0.5889563025578317
threenorm	50	euclidean	0.2	3	0.20411191452670607
square2	50	euclidean	0.2	3	0.19423763154420096
disk-3000n	50	euclidean	0.2	3	0.2526204022235174
d31	50	euclidean	0.2	3	0.5581747312008605
zelnik4	50	euclidean	0.2	3	1.0
2sp2glob	50	euclidean	0.2	3	0.6647480594027466
glass	50	euclidean	0.2	3	0.137169568375294
square1	50	euclidean	0.2	3	0.19423763154420096
2d-3c-no123	50	euclidean	0.2	3	0.07435510229748883
disk-4500n	50	euclidean	0.2	3	0.27232423142901613
sizes1	50	euclidean	0.2	3	0.19237244496429964
long3	50	euclidean	0.2	3	0.9579023604154682
cuboids	50	euclidean	0.2	3	1.0
st900	50	euclidean	0.2	3	0.6502834763928605
tetra	50	euclidean	0.2	3	0.22112490218707326
fourty	50	euclidean	0.2	4	0.34865358520391404
lsun	50	euclidean	0.2	4	0.6650042774088575
ds850	50	euclidean	0.2	4	0.8551207991922744
elly-2d10c13s	50	euclidean	0.2	4	0.028727854296552165
R15	50	euclidean	0.2	4	0.7467754788702543
spherical_6_2	50	euclidean	0.2	4	0.09637706692703478
shapes	50	euclidean	0.2	4	0.9595666790087141
2dnormals	50	euclidean	0.2	4	0.05159499157567093
simplex	50	euclidean	0.2	4	1.0
2d-20c-no0	50	euclidean	0.2	4	0.6226041780174574
disk-5000n	50	euclidean	0.2	4	0.17601662513173771
DS-577	50	euclidean	0.2	4	0.7264949245427009
zoo	50	euclidean	0.2	4	0.2834248482215105
square3	50	euclidean	0.2	4	0.12898365478497142
disk-4600n	50	euclidean	0.2	4	0.09010656035546669
sizes5	50	euclidean	0.2	4	0.08445352222295972
cure-t1-2000n-2D	50	euclidean	0.2	4	0.9072505493289745
blobs	50	euclidean	0.2	4	0.5279442573112326
dense-disk-5000	50	euclidean	0.2	4	0.28479925726438854
dense-disk-3000	50	euclidean	0.2	4	0.15754433463672327
2d-10c	50	euclidean	0.2	4	0.4994282410572221
impossible	50	euclidean	0.2	4	0.7445073761609365
aml28	50	euclidean	0.2	4	0.1526889503652147
zelnik2	50	euclidean	0.2	4	0.09398423001582387
sizes3	50	euclidean	0.2	4	0.1008121101076658
spiral	50	euclidean	0.2	4	0.6094565808523038
sizes2	50	euclidean	0.2	4	0.10941685378834008
iris	50	euclidean	0.2	4	0.2221009447628821
hypercube	50	euclidean	0.2	4	0.997066282760711
engytime	50	euclidean	0.2	4	0.030810233904679095
longsquare	50	euclidean	0.2	4	0.15298915006370561
iono	50	euclidean	0.2	4	0.03860146146321316
square5	50	euclidean	0.2	4	0.12411790029477943
DS-850	50	euclidean	0.2	4	0.8551207991922744
rings	50	euclidean	0.2	4	0.36934541781777347
cure-t2-4k	50	euclidean	0.2	4	0.8733152380050729
2d-4c-no4	50	euclidean	0.2	4	0.43495920121342296
disk-1000n	50	euclidean	0.2	4	0.07010329873199848
ecoli	50	euclidean	0.2	4	0.18021735807281097
target	50	euclidean	0.2	4	0.7472515301283689
3MC	50	euclidean	0.2	4	0.42046618413937425
xor	50	euclidean	0.2	4	0.18590894688969675
cure-t0-2000n-2D	50	euclidean	0.2	4	1.0
spherical_5_2	50	euclidean	0.2	4	0.08313298839631533
ds577	50	euclidean	0.2	4	0.7264949245427009
elliptical_10_2	50	euclidean	0.2	4	0.05519595167628118
wingnut	50	euclidean	0.2	4	0.8469230499663394
triangle2	50	euclidean	0.2	4	0.09113857822493167
disk-4000n	50	euclidean	0.2	4	0.16067902251357905
2d-4c	50	euclidean	0.2	4	0.5194143774962864
long1	50	euclidean	0.2	4	0.9569966377839799
sizes4	50	euclidean	0.2	4	0.08913870919419181
square4	50	euclidean	0.2	4	0.12827443024053614
chainlink	50	euclidean	0.2	4	1.0
spiralsquare	50	euclidean	0.2	4	0.5284550285583905
gaussians1	50	euclidean	0.2	4	1.0
pmf	50	euclidean	0.2	4	0.08545316319238488
long2	50	euclidean	0.2	4	0.9454137963492709
2d-4c-no9	50	euclidean	0.2	4	0.4119164246276727
cassini	50	euclidean	0.2	4	1.0
hepta	50	euclidean	0.2	4	0.46700977359402623
triangle1	50	euclidean	0.2	4	0.36009516201061237
tae	50	euclidean	0.2	4	0.04796284802914385
twenty	50	euclidean	0.2	4	0.5213868795277834
threenorm	50	euclidean	0.2	4	0.1907522074827705
square2	50	euclidean	0.2	4	0.12827443024053614
disk-3000n	50	euclidean	0.2	4	0.19698984561832233
d31	50	euclidean	0.2	4	0.4652829401506086
zelnik4	50	euclidean	0.2	4	1.0
2sp2glob	50	euclidean	0.2	4	0.49846203986167087
glass	50	euclidean	0.2	4	0.052554791565546606
square1	50	euclidean	0.2	4	0.12827443024053614
2d-3c-no123	50	euclidean	0.2	4	0.0732106430552066
disk-4500n	50	euclidean	0.2	4	0.2412399992516071
sizes1	50	euclidean	0.2	4	0.11329144816465976
long3	50	euclidean	0.2	4	0.9082237023210628
cuboids	50	euclidean	0.2	4	1.0
st900	50	euclidean	0.2	4	0.6036138454364688
tetra	50	euclidean	0.2	4	0.09964375816202062
spherical_4_3	50	euclidean	0.3	2	0.18257578692966595
fourty	50	euclidean	0.3	2	0.7208099542902724
lsun	50	euclidean	0.3	2	0.9118434434653767
ds850	50	euclidean	0.3	2	0.9722708716236849
pathbased	50	euclidean	0.3	2	0.17570545149792782
R15	50	euclidean	0.3	2	0.9351499331373285
spherical_6_2	50	euclidean	0.3	2	0.47814312770660167
shapes	50	euclidean	0.3	2	1.0
2dnormals	50	euclidean	0.3	2	0.047229969590696814
simplex	50	euclidean	0.3	2	1.0
2d-20c-no0	50	euclidean	0.3	2	0.8154100472084357
disk-5000n	50	euclidean	0.3	2	0.3895800046212244
DS-577	50	euclidean	0.3	2	0.9307804283429518
zoo	50	euclidean	0.3	2	0.4708389621216752
square3	50	euclidean	0.3	2	0.3807648363256267
sonar	50	euclidean	0.3	2	0.13156466002322514
disk-4600n	50	euclidean	0.3	2	0.4207658002603375
sizes5	50	euclidean	0.3	2	0.34193073392402284
cure-t1-2000n-2D	50	euclidean	0.3	2	0.6696013422216626
blobs	50	euclidean	0.3	2	0.04605021013590553
dense-disk-5000	50	euclidean	0.3	2	0.4602885775581882
dense-disk-3000	50	euclidean	0.3	2	0.5170988169469446
2d-10c	50	euclidean	0.3	2	0.6052345232096916
impossible	50	euclidean	0.3	2	0.8629832840693058
aml28	50	euclidean	0.3	2	0.38711709688806833
compound	50	euclidean	0.3	2	0.05360354250638201
sizes3	50	euclidean	0.3	2	0.3676391173659969
spiral	50	euclidean	0.3	2	1.0
sizes2	50	euclidean	0.3	2	0.38027477377305774
iris	50	euclidean	0.3	2	0.4833141505921429
hypercube	50	euclidean	0.3	2	1.0
engytime	50	euclidean	0.3	2	0.024508208009420038
longsquare	50	euclidean	0.3	2	0.46186692656293127
iono	50	euclidean	0.3	2	0.11297873027733907
square5	50	euclidean	0.3	2	0.3565013888914353
3-spiral	50	euclidean	0.3	2	0.20405886502317824
DS-850	50	euclidean	0.3	2	0.9722708716236849
rings	50	euclidean	0.3	2	0.4047123845613153
cure-t2-4k	50	euclidean	0.3	2	0.6400917606579166
2d-4c-no4	50	euclidean	0.3	2	0.5381406943995956
disk-1000n	50	euclidean	0.3	2	0.2592605339662656
complex9	50	euclidean	0.3	2	0.02491299318916792
ecoli	50	euclidean	0.3	2	0.20767244978966815
target	50	euclidean	0.3	2	1.0000000000000002
3MC	50	euclidean	0.3	2	0.5416966412281352
xclara	50	euclidean	0.3	2	0.15987810981622488
cure-t0-2000n-2D	50	euclidean	0.3	2	1.0
spherical_5_2	50	euclidean	0.3	2	0.44316485406485334
ds577	50	euclidean	0.3	2	0.9307804283429518
elliptical_10_2	50	euclidean	0.3	2	0.44303891117967154
triangle2	50	euclidean	0.3	2	0.3345339073433467
disk-4000n	50	euclidean	0.3	2	0.3340602959071158
jain	50	euclidean	0.3	2	0.087085204325113
2d-4c	50	euclidean	0.3	2	0.5947915415602242
long1	50	euclidean	0.3	2	0.9747872551155987
sizes4	50	euclidean	0.3	2	0.3538522006202997
square4	50	euclidean	0.3	2	0.3739413027311515
chainlink	50	euclidean	0.3	2	1.0
spiralsquare	50	euclidean	0.3	2	0.7403600747093906
gaussians1	50	euclidean	0.3	2	1.0
complex8	50	euclidean	0.3	2	0.031149432892563438
haberman	50	euclidean	0.3	2	0.07262504490899578
pmf	50	euclidean	0.3	2	0.29017234102270273
atom	50	euclidean	0.3	2	0.047743354326539096
long2	50	euclidean	0.3	2	0.9791854253728802
2d-4c-no9	50	euclidean	0.3	2	0.48628639063518714
hepta	50	euclidean	0.3	2	0.553268974383171
triangle1	50	euclidean	0.3	2	0.6027068766980285
tae	50	euclidean	0.3	2	0.3282537649344205
twenty	50	euclidean	0.3	2	0.8286695861314058
threenorm	50	euclidean	0.3	2	0.0636902381564346
square2	50	euclidean	0.3	2	0.38787943370165784
disk-3000n	50	euclidean	0.3	2	0.3256345633971372
d31	50	euclidean	0.3	2	0.7933658850317851
aggregation	50	euclidean	0.3	2	0.13571675633838423
zelnik4	50	euclidean	0.3	2	0.8538947415779105
2sp2glob	50	euclidean	0.3	2	0.6806603656195669
glass	50	euclidean	0.3	2	0.28317461319078474
square1	50	euclidean	0.3	2	0.38813962853927575
disk-4500n	50	euclidean	0.3	2	0.4019219389673109
sizes1	50	euclidean	0.3	2	0.3758433330023506
long3	50	euclidean	0.3	2	0.9712490105135584
st900	50	euclidean	0.3	2	0.08007506604005585
tetra	50	euclidean	0.3	2	0.5320894308196187
spherical_4_3	50	euclidean	0.3	3	0.08553984689218037
fourty	50	euclidean	0.3	3	0.6763732923323204
lsun	50	euclidean	0.3	3	0.9149262396733032
ds850	50	euclidean	0.3	3	0.9722708716236849
pathbased	50	euclidean	0.3	3	0.06570890613616064
R15	50	euclidean	0.3	3	0.9258741916800862
spherical_6_2	50	euclidean	0.3	3	0.4029845210616976
shapes	50	euclidean	0.3	3	1.0
2dnormals	50	euclidean	0.3	3	0.03440444843603993
simplex	50	euclidean	0.3	3	1.0
2d-20c-no0	50	euclidean	0.3	3	0.8062318816903872
disk-5000n	50	euclidean	0.3	3	0.38556278792234516
DS-577	50	euclidean	0.3	3	0.9307804283429518
zoo	50	euclidean	0.3	3	0.3938108141757237
square3	50	euclidean	0.3	3	0.33305367708194616
sonar	50	euclidean	0.3	3	0.10473035142752905
disk-4600n	50	euclidean	0.3	3	0.4173730806364632
sizes5	50	euclidean	0.3	3	0.2954439910846915
cure-t1-2000n-2D	50	euclidean	0.3	3	0.6696013422216626
blobs	50	euclidean	0.3	3	0.04605021013590553
dense-disk-5000	50	euclidean	0.3	3	0.4808424234413859
dense-disk-3000	50	euclidean	0.3	3	0.574381270847712
2d-10c	50	euclidean	0.3	3	0.6101550080624868
impossible	50	euclidean	0.3	3	0.877714464885974
aml28	50	euclidean	0.3	3	0.3448298345726331
sizes3	50	euclidean	0.3	3	0.3103952283109074
spiral	50	euclidean	0.3	3	1.0
sizes2	50	euclidean	0.3	3	0.3348056484990677
iris	50	euclidean	0.3	3	0.46314847961794
hypercube	50	euclidean	0.3	3	1.0
engytime	50	euclidean	0.3	3	0.015482861625320497
longsquare	50	euclidean	0.3	3	0.40316367333155256
iono	50	euclidean	0.3	3	0.09124403979021585
square5	50	euclidean	0.3	3	0.31420931768215404
3-spiral	50	euclidean	0.3	3	0.19376748243892844
DS-850	50	euclidean	0.3	3	0.9722708716236849
rings	50	euclidean	0.3	3	0.4205067132719631
cure-t2-4k	50	euclidean	0.3	3	0.6400917606579166
2d-4c-no4	50	euclidean	0.3	3	0.5400476404393175
disk-1000n	50	euclidean	0.3	3	0.22273699542352146
ecoli	50	euclidean	0.3	3	0.20767244978966815
target	50	euclidean	0.3	3	1.0000000000000002
3MC	50	euclidean	0.3	3	0.5364477689334521
xclara	50	euclidean	0.3	3	0.07447411010876784
cure-t0-2000n-2D	50	euclidean	0.3	3	1.0
spherical_5_2	50	euclidean	0.3	3	0.34464247554735883
ds577	50	euclidean	0.3	3	0.9307804283429518
elliptical_10_2	50	euclidean	0.3	3	0.31711162582978003
triangle2	50	euclidean	0.3	3	0.275028529387502
disk-4000n	50	euclidean	0.3	3	0.32723068137530326
jain	50	euclidean	0.3	3	0.033241174998560705
2d-4c	50	euclidean	0.3	3	0.6281434285463993
long1	50	euclidean	0.3	3	0.9747872551155987
sizes4	50	euclidean	0.3	3	0.29362136425931246
square4	50	euclidean	0.3	3	0.3230609590457577
chainlink	50	euclidean	0.3	3	1.0
spiralsquare	50	euclidean	0.3	3	0.7608304424756287
gaussians1	50	euclidean	0.3	3	1.0
haberman	50	euclidean	0.3	3	0.016991169000338913
pmf	50	euclidean	0.3	3	0.20259119618958288
long2	50	euclidean	0.3	3	0.9791854253728802
2d-4c-no9	50	euclidean	0.3	3	0.4738864452673582
hepta	50	euclidean	0.3	3	0.5102502894755259
triangle1	50	euclidean	0.3	3	0.6105617413847609
tae	50	euclidean	0.3	3	0.04796284802914385
twenty	50	euclidean	0.3	3	0.813824692612803
threenorm	50	euclidean	0.3	3	0.05746837922686399
square2	50	euclidean	0.3	3	0.3362427215067561
disk-3000n	50	euclidean	0.3	3	0.3333733315887903
d31	50	euclidean	0.3	3	0.7744979632188784
zelnik4	50	euclidean	0.3	3	0.8538947415779105
2sp2glob	50	euclidean	0.3	3	0.6997170062296134
glass	50	euclidean	0.3	3	0.24178858178764442
square1	50	euclidean	0.3	3	0.3352716949498962
disk-4500n	50	euclidean	0.3	3	0.405345804562081
sizes1	50	euclidean	0.3	3	0.3269823675730327
long3	50	euclidean	0.3	3	0.9712334708190343
st900	50	euclidean	0.3	3	0.05799258337593229
tetra	50	euclidean	0.3	3	0.5203283266569215
fourty	50	euclidean	0.3	4	0.5892862725111203
lsun	50	euclidean	0.3	4	0.9123176357604986
ds850	50	euclidean	0.3	4	0.9646961238978016
R15	50	euclidean	0.3	4	0.9084387767172725
spherical_6_2	50	euclidean	0.3	4	0.2874822408076708
shapes	50	euclidean	0.3	4	1.0
2dnormals	50	euclidean	0.3	4	0.02398237549667756
simplex	50	euclidean	0.3	4	1.0
2d-20c-no0	50	euclidean	0.3	4	0.7941776664862494
disk-5000n	50	euclidean	0.3	4	0.3332267958027977
DS-577	50	euclidean	0.3	4	0.9156447940297138
zoo	50	euclidean	0.3	4	0.2834248482215105
square3	50	euclidean	0.3	4	0.25997132180554816
sonar	50	euclidean	0.3	4	0.08793806920219324
disk-4600n	50	euclidean	0.3	4	0.2804175070553797
sizes5	50	euclidean	0.3	4	0.24080277447593817
cure-t1-2000n-2D	50	euclidean	0.3	4	0.6696013422216626
blobs	50	euclidean	0.3	4	0.039674981786994815
dense-disk-5000	50	euclidean	0.3	4	0.5522758853028867
dense-disk-3000	50	euclidean	0.3	4	0.5777931333617536
2d-10c	50	euclidean	0.3	4	0.6028463740437525
impossible	50	euclidean	0.3	4	0.8801749652861526
aml28	50	euclidean	0.3	4	0.2623619488560733
sizes3	50	euclidean	0.3	4	0.2531979019948489
spiral	50	euclidean	0.3	4	1.0
sizes2	50	euclidean	0.3	4	0.27207487708823885
iris	50	euclidean	0.3	4	0.4527761593234608
hypercube	50	euclidean	0.3	4	1.0
engytime	50	euclidean	0.3	4	0.004886314604623218
longsquare	50	euclidean	0.3	4	0.31238846259764713
iono	50	euclidean	0.3	4	0.08934368198843717
square5	50	euclidean	0.3	4	0.24471334068236067
3-spiral	50	euclidean	0.3	4	0.10144119589688713
DS-850	50	euclidean	0.3	4	0.9646961238978016
rings	50	euclidean	0.3	4	0.41563204855738894
cure-t2-4k	50	euclidean	0.3	4	0.6400917606579166
2d-4c-no4	50	euclidean	0.3	4	0.5221755856019785
disk-1000n	50	euclidean	0.3	4	0.15581205312926238
ecoli	50	euclidean	0.3	4	0.20525193271155145
target	50	euclidean	0.3	4	0.9861144062953922
3MC	50	euclidean	0.3	4	0.529026646022063
xclara	50	euclidean	0.3	4	0.024731964418081457
cure-t0-2000n-2D	50	euclidean	0.3	4	1.0
spherical_5_2	50	euclidean	0.3	4	0.2287490149563752
ds577	50	euclidean	0.3	4	0.9156447940297138
elliptical_10_2	50	euclidean	0.3	4	0.1883465040482911
triangle2	50	euclidean	0.3	4	0.1949390933819077
disk-4000n	50	euclidean	0.3	4	0.2960281365907847
2d-4c	50	euclidean	0.3	4	0.661915237817109
long1	50	euclidean	0.3	4	0.9685868341398403
sizes4	50	euclidean	0.3	4	0.23840186142369207
square4	50	euclidean	0.3	4	0.2575182436475568
chainlink	50	euclidean	0.3	4	1.0
spiralsquare	50	euclidean	0.3	4	0.7832714361297811
gaussians1	50	euclidean	0.3	4	1.0
pmf	50	euclidean	0.3	4	0.12469852538613589
long2	50	euclidean	0.3	4	0.9743458900209107
2d-4c-no9	50	euclidean	0.3	4	0.46020887522077075
hepta	50	euclidean	0.3	4	0.45863162241929645
triangle1	50	euclidean	0.3	4	0.6144528879489068
tae	50	euclidean	0.3	4	0.04796284802914385
twenty	50	euclidean	0.3	4	0.7859527643463166
threenorm	50	euclidean	0.3	4	0.05785093270616737
square2	50	euclidean	0.3	4	0.2610661967391637
disk-3000n	50	euclidean	0.3	4	0.33225895339699857
d31	50	euclidean	0.3	4	0.7376552446857411
zelnik4	50	euclidean	0.3	4	0.8538947415779105
2sp2glob	50	euclidean	0.3	4	0.7217041881488947
glass	50	euclidean	0.3	4	0.22900884381796288
square1	50	euclidean	0.3	4	0.2614868685381049
disk-4500n	50	euclidean	0.3	4	0.38565553692164223
sizes1	50	euclidean	0.3	4	0.2594562564884382
long3	50	euclidean	0.3	4	0.9712334708190343
st900	50	euclidean	0.3	4	0.029802764637029848
tetra	50	euclidean	0.3	4	0.4205082989229409
spherical_4_3	50	euclidean	0.5	2	0.37376543231724946
fourty	50	euclidean	0.5	2	0.9203552583211478
lsun	50	euclidean	0.5	2	1.0
pathbased	50	euclidean	0.5	2	0.31511420084689196
R15	50	euclidean	0.5	2	0.8707452731409097
spherical_6_2	50	euclidean	0.5	2	0.7015802548294916
shapes	50	euclidean	0.5	2	1.0
2dnormals	50	euclidean	0.5	2	0.014969147343841712
2d-20c-no0	50	euclidean	0.5	2	0.9324787505127922
zoo	50	euclidean	0.5	2	0.4708389621216752
square3	50	euclidean	0.5	2	0.5533741764952761
sonar	50	euclidean	0.5	2	0.22975137820695846
disk-4600n	50	euclidean	0.5	2	0.09629660205119647
sizes5	50	euclidean	0.5	2	0.5434036046228667
blobs	50	euclidean	0.5	2	0.02344645976400744
dense-disk-5000	50	euclidean	0.5	2	0.05692327488008482
dense-disk-3000	50	euclidean	0.5	2	0.3675616843461145
2d-10c	50	euclidean	0.5	2	0.6971669933070572
impossible	50	euclidean	0.5	2	0.9176243223730122
aml28	50	euclidean	0.5	2	0.583922272799377
compound	50	euclidean	0.5	2	0.3798545642553948
sizes3	50	euclidean	0.5	2	0.5597487693500467
spiral	50	euclidean	0.5	2	1.0
sizes2	50	euclidean	0.5	2	0.5861499481956922
iris	50	euclidean	0.5	2	0.627903870936976
hypercube	50	euclidean	0.5	2	0.6579754151170594
engytime	50	euclidean	0.5	2	0.008782133183456966
longsquare	50	euclidean	0.5	2	0.6860266200207601
iono	50	euclidean	0.5	2	0.18629029400036493
square5	50	euclidean	0.5	2	0.17061552086703835
3-spiral	50	euclidean	0.5	2	0.36298900196620953
rings	50	euclidean	0.5	2	0.4687786571705285
