dataset	n_clusters	init	max_iter	n_init	algorithm	nmi
disk-4000n	2	k-means++	300	10	auto	0.00037873397367244884
disk-4500n	2	k-means++	300	10	auto	0.000297779004281807
disk-4600n	2	k-means++	300	10	auto	0.0001223271340206936
disk-5000n	2	k-means++	300	10	auto	3.0162177427055074e-07
donut1	2	k-means++	300	10	auto	0.2738869210931011
donut2	2	k-means++	300	10	auto	0.005172099432665959
donut3	2	k-means++	300	10	auto	0.5158050056653266
donutcurves	2	k-means++	300	10	auto	0.6666666666666666
dpb	2	k-means++	300	10	auto	0.436333633279528
dpc	2	k-means++	300	10	auto	0.4321400611418118
DS-577	2	k-means++	300	10	auto	0.5583858681317769
DS-850	2	k-means++	300	10	auto	0.47537974712883163
ds2c2sc13	2	k-means++	300	10	auto	0.43076444504029565
ds3c3sc6	2	k-means++	300	10	auto	0.42510310454493694
ds4c2sc8	2	k-means++	300	10	auto	0.35236441338858965
ds577	2	k-means++	300	10	auto	0.5583858681317769
ds850	2	k-means++	300	10	auto	0.47537974712883163
ecoli	2	k-means++	300	10	auto	0.4299551235523929
elliptical_10_2	2	k-means++	300	10	auto	0.4169840344643996
elly-2d10c13s	2	k-means++	300	10	auto	0.18574976732751375
engytime	2	k-means++	300	10	auto	0.7296025389701776
flame	2	k-means++	300	10	auto	0.3987957374536851
fourty	2	k-means++	300	10	auto	0.31635918187956436
gaussians1	2	k-means++	300	10	auto	1.0
glass	2	k-means++	300	10	auto	0.2751555881537759
haberman	2	k-means++	300	10	auto	0.0009092019729105994
heart-statlog	2	k-means++	300	10	auto	0.019912292457130217
hepta	2	k-means++	300	10	auto	0.5189329822474543
hypercube	2	k-means++	300	10	auto	0.5000000000000008
impossible	2	k-means++	300	10	auto	0.44732263006103556
iono	2	k-means++	300	10	auto	0.13485692093441007
iris	2	k-means++	300	10	auto	0.6565191143081124
jain	2	k-means++	300	10	auto	0.3690019484299286
long1	2	k-means++	300	10	auto	0.0009375390561214267
long2	2	k-means++	300	10	auto	0.00038328548664753377
long3	2	k-means++	300	10	auto	0.002365257181566844
longsquare	2	k-means++	300	10	auto	0.5066082331220548
lsun	2	k-means++	300	10	auto	0.6491389545399219
pathbased	2	k-means++	300	10	auto	0.49099715322938187
pmf	2	k-means++	300	10	auto	0.6455141039792022
R15	2	k-means++	300	10	auto	0.3981066855692739
rings	2	k-means++	300	10	auto	0.10974771211692305
shapes	2	k-means++	300	10	auto	0.6666666666666666
simplex	2	k-means++	300	10	auto	0.5771596324111234
sizes1	2	k-means++	300	10	auto	0.5936057894333179
sizes2	2	k-means++	300	10	auto	0.5497530932200633
sizes3	2	k-means++	300	10	auto	0.5765784709095217
sizes4	2	k-means++	300	10	auto	0.6029337599165153
sizes5	2	k-means++	300	10	auto	0.6327371290595916
smile1	2	k-means++	300	10	auto	0.4757810178849073
smile2	2	k-means++	300	10	auto	0.48800442877183675
smile3	2	k-means++	300	10	auto	0.37306978312473627
sonar	2	k-means++	300	10	auto	0.005786989327841169
spherical_4_3	2	k-means++	300	10	auto	0.6666666666666679
spherical_5_2	2	k-means++	300	10	auto	0.4821201024000592
spherical_6_2	2	k-means++	300	10	auto	0.5578858913022593
spiral	2	k-means++	300	10	auto	0.02349953124217701
spiralsquare	2	k-means++	300	10	auto	0.551772390479184
square1	2	k-means++	300	10	auto	0.6077171636500127
square2	2	k-means++	300	10	auto	0.5824902448746704
square3	2	k-means++	300	10	auto	0.5505706298325649
square4	2	k-means++	300	10	auto	0.506843633721829
square5	2	k-means++	300	10	auto	0.44457307134400365
st900	2	k-means++	300	10	auto	0.3450230889736055
tae	2	k-means++	300	10	auto	0.009679787260232615
target	2	k-means++	300	10	auto	0.2964435182851918
tetra	2	k-means++	300	10	auto	0.530554297567924
threenorm	2	k-means++	300	10	auto	0.09730597421483686
thy	2	k-means++	300	10	auto	0.13980972141655573
triangle1	2	k-means++	300	10	auto	0.4726232640255141
triangle2	2	k-means++	300	10	auto	0.48840796940833275
twenty	2	k-means++	300	10	auto	0.36190322131524466
twodiamonds	2	k-means++	300	10	auto	1.0
wingnut	2	k-means++	300	10	auto	0.7744007983089456
xclara	2	k-means++	300	10	auto	0.7035940565187409
xor	2	k-means++	300	10	auto	0.0008894787453058702
zelnik1	2	k-means++	300	10	auto	0.1172600257841105
zelnik2	2	k-means++	300	10	auto	0.5035596810686214
zelnik3	2	k-means++	300	10	auto	0.4369415609862255
zelnik4	2	k-means++	300	10	auto	0.6676578691388774
zelnik5	2	k-means++	300	10	auto	0.6669921540718916
zelnik6	2	k-means++	300	10	auto	0.5979727711023262
zoo	2	k-means++	300	10	auto	0.31286315490573896
2d-10c	3	k-means++	300	10	auto	0.6944332335911069
2d-20c-no0	3	k-means++	300	10	auto	0.5239152217206645
2d-3c-no123	3	k-means++	300	10	auto	0.7215637559045326
2d-4c-no4	3	k-means++	300	10	auto	0.8518181710274879
2d-4c-no9	3	k-means++	300	10	auto	0.8301967226519434
2d-4c	3	k-means++	300	10	auto	0.8856290830903213
2dnormals	3	k-means++	300	10	auto	0.4651341795811369
2sp2glob	3	k-means++	300	10	auto	0.8571428571428571
3-spiral	3	k-means++	300	10	auto	0.001075283329019744
3MC	3	k-means++	300	10	auto	0.8088691368366147
aggregation	3	k-means++	300	10	auto	0.7402938329734718
aml28	3	k-means++	300	10	auto	0.9049214792610688
atom	3	k-means++	300	10	auto	0.46533985923740573
balance-scale	3	k-means++	300	10	auto	0.09597104025851151
banana	3	k-means++	300	10	auto	0.31295527999871536
blobs	3	k-means++	300	10	auto	0.861621364077095
cassini	3	k-means++	300	10	auto	0.5559176533716133
chainlink	3	k-means++	300	10	auto	0.384456776732171
circle	3	k-means++	300	10	auto	0.002195349567382378
complex8	3	k-means++	300	10	auto	0.49276822071148196
complex9	3	k-means++	300	10	auto	0.6071098675957304
compound	3	k-means++	300	10	auto	0.806069222511028
cuboids	3	k-means++	300	10	auto	0.798793872595555
cure-t0-2000n-2D	3	k-means++	300	10	auto	0.42835713125709624
cure-t1-2000n-2D	3	k-means++	300	10	auto	0.6476791211961932
cure-t2-4k	3	k-means++	300	10	auto	0.6491588147554443
curves1	3	k-means++	300	10	auto	0.8000018466588393
curves2	3	k-means++	300	10	auto	0.46465118605507383
d31	3	k-means++	300	10	auto	0.4567129249982829
dartboard1	3	k-means++	300	10	auto	0.0
dartboard2	3	k-means++	300	10	auto	0.2789232698921116
dense-disk-3000	3	k-means++	300	10	auto	0.0008186860787675079
dense-disk-5000	3	k-means++	300	10	auto	0.0004880514948941659
diamond9	3	k-means++	300	10	auto	0.5444929964727988
disk-1000n	3	k-means++	300	10	auto	0.00020985277121420126
disk-3000n	3	k-means++	300	10	auto	0.0003163836121057175
disk-4000n	3	k-means++	300	10	auto	0.00016760760062272745
disk-4500n	3	k-means++	300	10	auto	0.0005238874345911168
disk-4600n	3	k-means++	300	10	auto	0.0001729969762160018
disk-5000n	3	k-means++	300	10	auto	0.00010949831857158997
donut1	3	k-means++	300	10	auto	0.39392086466234627
donut2	3	k-means++	300	10	auto	0.01755907293614954
donut3	3	k-means++	300	10	auto	0.5621979941601262
donutcurves	3	k-means++	300	10	auto	0.6624357685526513
dpb	3	k-means++	300	10	auto	0.731365394816455
dpc	3	k-means++	300	10	auto	0.7565762995363087
DS-577	3	k-means++	300	10	auto	0.873052190684947
DS-850	3	k-means++	300	10	auto	0.6247986650486939
ds2c2sc13	3	k-means++	300	10	auto	0.6012755758991748
ds3c3sc6	3	k-means++	300	10	auto	0.7014757061913294
ds4c2sc8	3	k-means++	300	10	auto	0.6126139034731798
ds577	3	k-means++	300	10	auto	0.8730521906849471
ds850	3	k-means++	300	10	auto	0.6247986650486937
ecoli	3	k-means++	300	10	auto	0.6283907734312016
elliptical_10_2	3	k-means++	300	10	auto	0.5621590914001288
elly-2d10c13s	3	k-means++	300	10	auto	0.4176630756471799
engytime	3	k-means++	300	10	auto	0.5468508106274312
flame	3	k-means++	300	10	auto	0.48627024942110925
fourty	3	k-means++	300	10	auto	0.427406615407595
gaussians1	3	k-means++	300	10	auto	0.8029784244290347
glass	3	k-means++	300	10	auto	0.36206116980946584
haberman	3	k-means++	300	10	auto	0.03613682316903384
heart-statlog	3	k-means++	300	10	auto	0.011246699083440635
hepta	3	k-means++	300	10	auto	0.6570523040240904
hypercube	3	k-means++	300	10	auto	0.6666666666666674
impossible	3	k-means++	300	10	auto	0.6664478161093822
iono	3	k-means++	300	10	auto	0.20828787641763447
iris	3	k-means++	300	10	auto	0.7581756800057785
jain	3	k-means++	300	10	auto	0.36473504284468194
long1	3	k-means++	300	10	auto	0.0015920908989802995
long2	3	k-means++	300	10	auto	0.0036985979914191404
long3	3	k-means++	300	10	auto	0.001845087677477716
longsquare	3	k-means++	300	10	auto	0.75561950374516
lsun	3	k-means++	300	10	auto	0.5441428265708905
pathbased	3	k-means++	300	10	auto	0.5458430500422186
pmf	3	k-means++	300	10	auto	0.8429108581148015
R15	3	k-means++	300	10	auto	0.5565333063363668
rings	3	k-means++	300	10	auto	0.19234061457077944
shapes	3	k-means++	300	10	auto	0.8571428571428571
simplex	3	k-means++	300	10	auto	0.8571428571428569
sizes1	3	k-means++	300	10	auto	0.76041971519358
sizes2	3	k-means++	300	10	auto	0.8224452384085459
sizes3	3	k-means++	300	10	auto	0.81049539948749
sizes4	3	k-means++	300	10	auto	0.7980395914809604
sizes5	3	k-means++	300	10	auto	0.7946906008581542
smile1	3	k-means++	300	10	auto	0.663693023995326
smile2	3	k-means++	300	10	auto	0.6015468143933342
smile3	3	k-means++	300	10	auto	0.4595354699109822
sonar	3	k-means++	300	10	auto	0.0030538667129887853
spherical_4_3	3	k-means++	300	10	auto	0.8317950267967015
spherical_5_2	3	k-means++	300	10	auto	0.608406461007854
spherical_6_2	3	k-means++	300	10	auto	0.7216162598446753
spiral	3	k-means++	300	10	auto	0.0408372825786266
spiralsquare	3	k-means++	300	10	auto	0.7047559471437509
square1	3	k-means++	300	10	auto	0.7300266463316095
square2	3	k-means++	300	10	auto	0.7006068105681459
square3	3	k-means++	300	10	auto	0.6511845224220846
square4	3	k-means++	300	10	auto	0.6050858602824029
square5	3	k-means++	300	10	auto	0.5128114087263834
st900	3	k-means++	300	10	auto	0.48718434653006093
tae	3	k-means++	300	10	auto	0.026314192155782762
target	3	k-means++	300	10	auto	0.41355509068524193
tetra	3	k-means++	300	10	auto	0.83523698781905
threenorm	3	k-means++	300	10	auto	0.413754034240699
thy	3	k-means++	300	10	auto	0.44914734150040425
triangle1	3	k-means++	300	10	auto	0.71686619972516
triangle2	3	k-means++	300	10	auto	0.7655967216669599
twenty	3	k-means++	300	10	auto	0.5306644317089368
twodiamonds	3	k-means++	300	10	auto	0.791226871761803
wingnut	3	k-means++	300	10	auto	0.6846079707477452
xclara	3	k-means++	300	10	auto	0.9872347608204504
xor	3	k-means++	300	10	auto	0.1402334232525258
zelnik1	3	k-means++	300	10	auto	0.16340356462390612
zelnik2	3	k-means++	300	10	auto	0.5463765765707048
zelnik3	3	k-means++	300	10	auto	0.5326936962024736
zelnik4	3	k-means++	300	10	auto	0.8433531345569784
zelnik5	3	k-means++	300	10	auto	0.583406197699186
zelnik6	3	k-means++	300	10	auto	0.6359186428308186
zoo	3	k-means++	300	10	auto	0.597213455240777
2d-10c	4	k-means++	300	10	auto	0.7928461943277005
2d-20c-no0	4	k-means++	300	10	auto	0.6049387697113754
2d-3c-no123	4	k-means++	300	10	auto	0.6389541522753189
2d-4c-no4	4	k-means++	300	10	auto	0.9546706732249888
2d-4c-no9	4	k-means++	300	10	auto	0.9011050799214644
2d-4c	4	k-means++	300	10	auto	1.0
2dnormals	4	k-means++	300	10	auto	0.37904068444885075
2sp2glob	4	k-means++	300	10	auto	0.7564167019281818
3-spiral	4	k-means++	300	10	auto	0.0020148455881956583
3MC	4	k-means++	300	10	auto	0.7291369396590459
aggregation	4	k-means++	300	10	auto	0.802910150480097
aml28	4	k-means++	300	10	auto	0.9442199706823576
atom	4	k-means++	300	10	auto	0.4782949942818153
balance-scale	4	k-means++	300	10	auto	0.16353956138514494
banana	4	k-means++	300	10	auto	0.3456207125598268
blobs	4	k-means++	300	10	auto	0.7531448417374035
cassini	4	k-means++	300	10	auto	0.4986777816747242
chainlink	4	k-means++	300	10	auto	0.2441014190828236
circle	4	k-means++	300	10	auto	0.003620205567934942
complex8	4	k-means++	300	10	auto	0.5482956909136871
complex9	4	k-means++	300	10	auto	0.6445825957450605
compound	4	k-means++	300	10	auto	0.7041744264344981
cuboids	4	k-means++	300	10	auto	1.0
cure-t0-2000n-2D	4	k-means++	300	10	auto	0.40353305192692235
cure-t1-2000n-2D	4	k-means++	300	10	auto	0.7371476993706213
cure-t2-4k	4	k-means++	300	10	auto	0.7137858770122573
curves1	4	k-means++	300	10	auto	0.666669231474557
curves2	4	k-means++	300	10	auto	0.30469539601766044
d31	4	k-means++	300	10	auto	0.5341195871308441
dartboard1	4	k-means++	300	10	auto	-6.406926954352567e-16
dartboard2	4	k-means++	300	10	auto	0.5273608348913557
dense-disk-3000	4	k-means++	300	10	auto	0.00107994266294872
dense-disk-5000	4	k-means++	300	10	auto	0.0006532368000199092
diamond9	4	k-means++	300	10	auto	0.5755411137163168
disk-1000n	4	k-means++	300	10	auto	0.004532914710784645
disk-3000n	4	k-means++	300	10	auto	0.0010147890810075185
disk-4000n	4	k-means++	300	10	auto	8.146505763845122e-05
disk-4500n	4	k-means++	300	10	auto	0.00011675435330925598
disk-4600n	4	k-means++	300	10	auto	0.0005381917663413034
disk-5000n	4	k-means++	300	10	auto	7.894562860084304e-06
donut1	4	k-means++	300	10	auto	0.7162096675377355
donut2	4	k-means++	300	10	auto	0.08490513996349043
donut3	4	k-means++	300	10	auto	0.6084892857635266
donutcurves	4	k-means++	300	10	auto	0.5764227898615987
dpb	4	k-means++	300	10	auto	0.8477712005075946
dpc	4	k-means++	300	10	auto	0.8957399639851703
DS-577	4	k-means++	300	10	auto	0.8183947388721339
DS-850	4	k-means++	300	10	auto	0.8590460045734964
ds2c2sc13	4	k-means++	300	10	auto	0.6899419787314784
ds3c3sc6	4	k-means++	300	10	auto	0.6970121921506522
ds4c2sc8	4	k-means++	300	10	auto	0.6741781663593568
ds577	4	k-means++	300	10	auto	0.818394738872134
ds850	4	k-means++	300	10	auto	0.8590460045734962
ecoli	4	k-means++	300	10	auto	0.6281787409854965
elliptical_10_2	4	k-means++	300	10	auto	0.7137816392245288
elly-2d10c13s	4	k-means++	300	10	auto	0.4663923588423615
engytime	4	k-means++	300	10	auto	0.490597698374251
flame	4	k-means++	300	10	auto	0.5401951313617974
fourty	4	k-means++	300	10	auto	0.5343273076539493
gaussians1	4	k-means++	300	10	auto	0.6772460857962218
glass	4	k-means++	300	10	auto	0.4059280754478531
haberman	4	k-means++	300	10	auto	0.022503468975923268
heart-statlog	4	k-means++	300	10	auto	0.02522133143307516
hepta	4	k-means++	300	10	auto	0.74220817973076
hypercube	4	k-means++	300	10	auto	0.8000000000000007
impossible	4	k-means++	300	10	auto	0.8222889169254725
iono	4	k-means++	300	10	auto	0.2475167683603003
iris	4	k-means++	300	10	auto	0.7219203867820962
jain	4	k-means++	300	10	auto	0.40989733401237943
long1	4	k-means++	300	10	auto	0.36054006977045056
long2	4	k-means++	300	10	auto	0.35361926121672804
long3	4	k-means++	300	10	auto	0.3153408621635935
longsquare	4	k-means++	300	10	auto	0.7932068807199807
lsun	4	k-means++	300	10	auto	0.7222378729708145
pathbased	4	k-means++	300	10	auto	0.46993750028202286
pmf	4	k-means++	300	10	auto	0.932987821615294
R15	4	k-means++	300	10	auto	0.6264246611371437
rings	4	k-means++	300	10	auto	0.30730935237390117
shapes	4	k-means++	300	10	auto	1.0
simplex	4	k-means++	300	10	auto	1.0
sizes1	4	k-means++	300	10	auto	0.9263970196423192
sizes2	4	k-means++	300	10	auto	0.9349969840101671
sizes3	4	k-means++	300	10	auto	0.9119515230749768
sizes4	4	k-means++	300	10	auto	0.8867946563303162
sizes5	4	k-means++	300	10	auto	0.8840706864533042
smile1	4	k-means++	300	10	auto	0.6074589647715338
smile2	4	k-means++	300	10	auto	0.5142279046073281
smile3	4	k-means++	300	10	auto	0.3952427752497914
sonar	4	k-means++	300	10	auto	0.02243111998907246
spherical_4_3	4	k-means++	300	10	auto	1.0
spherical_5_2	4	k-means++	300	10	auto	0.74391027451602
spherical_6_2	4	k-means++	300	10	auto	0.8519590445170669
spiral	4	k-means++	300	10	auto	0.049648710179182313
spiralsquare	4	k-means++	300	10	auto	0.6040142538653134
square1	4	k-means++	300	10	auto	0.9225841094073307
square2	4	k-means++	300	10	auto	0.8849471817615496
square3	4	k-means++	300	10	auto	0.8220371864673635
square4	4	k-means++	300	10	auto	0.748289054303658
square5	4	k-means++	300	10	auto	0.6435882510982318
st900	4	k-means++	300	10	auto	0.5172384969713077
tae	4	k-means++	300	10	auto	0.038166087945528476
target	4	k-means++	300	10	auto	0.6909222903811075
tetra	4	k-means++	300	10	auto	1.0
threenorm	4	k-means++	300	10	auto	0.37823769466924945
thy	4	k-means++	300	10	auto	0.33640667928204987
triangle1	4	k-means++	300	10	auto	0.9520152473412339
triangle2	4	k-means++	300	10	auto	0.8693263036795436
twenty	4	k-means++	300	10	auto	0.6221649393784393
twodiamonds	4	k-means++	300	10	auto	0.667110115250547
wingnut	4	k-means++	300	10	auto	0.6367107512363669
xclara	4	k-means++	300	10	auto	0.8806027411674353
xor	4	k-means++	300	10	auto	0.26892628137829
zelnik1	4	k-means++	300	10	auto	0.3669075109951248
zelnik2	4	k-means++	300	10	auto	0.5565476590426379
zelnik3	4	k-means++	300	10	auto	0.7076152998374747
zelnik4	4	k-means++	300	10	auto	1.0
zelnik5	4	k-means++	300	10	auto	0.67352666700588
zelnik6	4	k-means++	300	10	auto	0.6796296415906371
zoo	4	k-means++	300	10	auto	0.7370227609011375
2d-10c	5	k-means++	300	10	auto	0.8514673413059411
2d-20c-no0	5	k-means++	300	10	auto	0.6634903055499077
2d-3c-no123	5	k-means++	300	10	auto	0.6692472198351798
2d-4c-no4	5	k-means++	300	10	auto	0.8356293870690595
2d-4c-no9	5	k-means++	300	10	auto	0.861648449440326
2d-4c	5	k-means++	300	10	auto	0.9063199259577684
2dnormals	5	k-means++	300	10	auto	0.3785299222033553
2sp2glob	5	k-means++	300	10	auto	0.7091929944399021
3-spiral	5	k-means++	300	10	auto	0.007775350576475356
3MC	5	k-means++	300	10	auto	0.7620462130315269
aggregation	5	k-means++	300	10	auto	0.8143277909718117
aml28	5	k-means++	300	10	auto	0.9999999999999998
atom	5	k-means++	300	10	auto	0.5149289754762322
balance-scale	5	k-means++	300	10	auto	0.16760855735277239
banana	5	k-means++	300	10	auto	0.34520888032584873
blobs	5	k-means++	300	10	auto	0.734826510923573
cassini	5	k-means++	300	10	auto	0.7920927864123285
chainlink	5	k-means++	300	10	auto	0.4013141389595667
circle	5	k-means++	300	10	auto	0.11491492531330656
complex8	5	k-means++	300	10	auto	0.6185518102891402
complex9	5	k-means++	300	10	auto	0.6954177287901255
compound	5	k-means++	300	10	auto	0.7593217471744671
cuboids	5	k-means++	300	10	auto	0.931919410538433
cure-t0-2000n-2D	5	k-means++	300	10	auto	0.44527304468724677
cure-t1-2000n-2D	5	k-means++	300	10	auto	0.7557029762110505
cure-t2-4k	5	k-means++	300	10	auto	0.7349451597831981
curves1	5	k-means++	300	10	auto	0.6074462107020726
curves2	5	k-means++	300	10	auto	0.47218503070400897
d31	5	k-means++	300	10	auto	0.5909974646409225
dartboard1	5	k-means++	300	10	auto	0.37635458288096285
dartboard2	5	k-means++	300	10	auto	0.5000028854375111
dense-disk-3000	5	k-means++	300	10	auto	0.005002849989036105
dense-disk-5000	5	k-means++	300	10	auto	0.0025692370673396255
diamond9	5	k-means++	300	10	auto	0.7260381752162998
disk-1000n	5	k-means++	300	10	auto	0.004693625348039945
disk-3000n	5	k-means++	300	10	auto	0.009635388345976487
disk-4000n	5	k-means++	300	10	auto	0.0031967943332121412
disk-4500n	5	k-means++	300	10	auto	0.0008878514012612956
disk-4600n	5	k-means++	300	10	auto	0.0008562221269795351
disk-5000n	5	k-means++	300	10	auto	0.0016895355230082125
donut1	5	k-means++	300	10	auto	0.6666692314950765
donut2	5	k-means++	300	10	auto	0.3785823020472402
donut3	5	k-means++	300	10	auto	0.6345909267475058
donutcurves	5	k-means++	300	10	auto	0.5897249077118698
dpb	5	k-means++	300	10	auto	0.902081045213184
dpc	5	k-means++	300	10	auto	0.9549150372263263
DS-577	5	k-means++	300	10	auto	0.7732956832468952
DS-850	5	k-means++	300	10	auto	0.8945058129674747
ds2c2sc13	5	k-means++	300	10	auto	0.7643321878246904
ds3c3sc6	5	k-means++	300	10	auto	0.6382021054580576
ds4c2sc8	5	k-means++	300	10	auto	0.7297428254166269
ds577	5	k-means++	300	10	auto	0.7790315139226042
ds850	5	k-means++	300	10	auto	0.8945058129674749
ecoli	5	k-means++	300	10	auto	0.6365431807593526
elliptical_10_2	5	k-means++	300	10	auto	0.8007194866476288
elly-2d10c13s	5	k-means++	300	10	auto	0.5115388468522167
engytime	5	k-means++	300	10	auto	0.4643074271182373
flame	5	k-means++	300	10	auto	0.49908294629121236
fourty	5	k-means++	300	10	auto	0.5898085488658347
gaussians1	5	k-means++	300	10	auto	0.612165205274632
glass	5	k-means++	300	10	auto	0.39004793484080674
haberman	5	k-means++	300	10	auto	0.033810002245678816
heart-statlog	5	k-means++	300	10	auto	0.037314294989886254
hepta	5	k-means++	300	10	auto	0.860442559795553
hypercube	5	k-means++	300	10	auto	0.8571428571428577
impossible	5	k-means++	300	10	auto	0.741649012310136
iono	5	k-means++	300	10	auto	0.22311231535527784
iris	5	k-means++	300	10	auto	0.6938628345588717
jain	5	k-means++	300	10	auto	0.3841178837318368
long1	5	k-means++	300	10	auto	0.4436284453861676
long2	5	k-means++	300	10	auto	0.3940563100175716
long3	5	k-means++	300	10	auto	0.3145937693631911
longsquare	5	k-means++	300	10	auto	0.9060640851107399
lsun	5	k-means++	300	10	auto	0.8040765861704536
pathbased	5	k-means++	300	10	auto	0.4599964926737714
pmf	5	k-means++	300	10	auto	0.8286726636930131
R15	5	k-means++	300	10	auto	0.655989805219806
rings	5	k-means++	300	10	auto	0.3701930250967859
shapes	5	k-means++	300	10	auto	0.9411866948014519
simplex	5	k-means++	300	10	auto	0.9413837246966777
sizes1	5	k-means++	300	10	auto	0.8411295882717842
sizes2	5	k-means++	300	10	auto	0.8135622585255122
sizes3	5	k-means++	300	10	auto	0.7714162885192032
sizes4	5	k-means++	300	10	auto	0.7252230453563151
sizes5	5	k-means++	300	10	auto	0.6929710655899639
smile1	5	k-means++	300	10	auto	0.6329440832034403
smile2	5	k-means++	300	10	auto	0.5469824730450649
smile3	5	k-means++	300	10	auto	0.4217902966904797
sonar	5	k-means++	300	10	auto	0.01927436736985416
spherical_4_3	5	k-means++	300	10	auto	0.941192446402506
spherical_5_2	5	k-means++	300	10	auto	0.8992479801425186
spherical_6_2	5	k-means++	300	10	auto	0.9310809437291899
spiral	5	k-means++	300	10	auto	0.03635570090144587
spiralsquare	5	k-means++	300	10	auto	0.5331561638658607
square1	5	k-means++	300	10	auto	0.8649442352957516
square2	5	k-means++	300	10	auto	0.8402864905556545
square3	5	k-means++	300	10	auto	0.7552421761712056
square4	5	k-means++	300	10	auto	0.68747520035637
square5	5	k-means++	300	10	auto	0.5868070650425089
st900	5	k-means++	300	10	auto	0.6469213873637654
tae	5	k-means++	300	10	auto	0.04266700558881517
target	5	k-means++	300	10	auto	0.6642757685230091
tetra	5	k-means++	300	10	auto	0.9415766709152767
threenorm	5	k-means++	300	10	auto	0.3484059296095741
thy	5	k-means++	300	10	auto	0.3311263808530725
triangle1	5	k-means++	300	10	auto	0.9370210897606942
triangle2	5	k-means++	300	10	auto	0.8773454773435299
twenty	5	k-means++	300	10	auto	0.6785484005807312
twodiamonds	5	k-means++	300	10	auto	0.5466983231735415
wingnut	5	k-means++	300	10	auto	0.45035790425403727
xclara	5	k-means++	300	10	auto	0.8066144497189572
xor	5	k-means++	300	10	auto	0.3174143300016175
zelnik1	5	k-means++	300	10	auto	0.38499746184011013
zelnik2	5	k-means++	300	10	auto	0.6067948474173561
zelnik3	5	k-means++	300	10	auto	0.8149123419889446
zelnik4	5	k-means++	300	10	auto	0.928066835225902
zelnik5	5	k-means++	300	10	auto	0.780437946142452
zelnik6	5	k-means++	300	10	auto	0.6996269226667445
zoo	5	k-means++	300	10	auto	0.6993349994752281
2d-10c	6	k-means++	300	10	auto	0.9005466895529631
2d-20c-no0	6	k-means++	300	10	auto	0.7381043352654425
2d-3c-no123	6	k-means++	300	10	auto	0.6496356728593532
2d-4c-no4	6	k-means++	300	10	auto	0.8361853184043204
2d-4c-no9	6	k-means++	300	10	auto	0.8290988260539244
2d-4c	6	k-means++	300	10	auto	0.823904854718236
2dnormals	6	k-means++	300	10	auto	0.3677466009790688
2sp2glob	6	k-means++	300	10	auto	0.6841563556146968
3-spiral	6	k-means++	300	10	auto	0.017960068325444327
3MC	6	k-means++	300	10	auto	0.7172910807217262
aggregation	6	k-means++	300	10	auto	0.8749971645007717
aml28	6	k-means++	300	10	auto	0.814667702548687
atom	6	k-means++	300	10	auto	0.6352795283243817
balance-scale	6	k-means++	300	10	auto	0.213664954768151
banana	6	k-means++	300	10	auto	0.44653890250824096
blobs	6	k-means++	300	10	auto	0.6537668500644498
cassini	6	k-means++	300	10	auto	0.7468297864788059
chainlink	6	k-means++	300	10	auto	0.3021099747146908
circle	6	k-means++	300	10	auto	0.11487722115462211
